Legislator Name,Chamber,District,Party,SB 2095 (2022),HB 1158 (2023),SB 2857 (2024),HB 611 (2025),SB 2748 (2025),HB 895 (2026),HB 1152 (2026),HB 1034 (2026),HB 513 (2026),Score,Grade,Classification,Historical Vote Score,Summary,Contact Link,Eligible Weight,Publish?,Slug,Featured?
Angela Burks Hill,Senate,40,Republican,OPPOSE,OPPOSE,SUPPORT,N/A,OPPOSE,OPPOSE,OPPOSE,N/A,N/A,15,F,Opposed,15,Angela Burks Hill is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Angela Burks Hill,100,Yes,angela-burks-hill,No
Joey Fillingane,Senate,41,Republican,SUPPORT,ABSENT,SUPPORT,N/A,OPPOSE,SUPPORT,OPPOSE,N/A,N/A,63,C,Mixed / Persuadable,62.5,Joey Fillingane has a mixed record on 3MA’s tracked medical cannabis priorities and may be persuadable on future reforms.,Joey Fillingane,100,Yes,joey-fillingane,No
Don Hartness,Senate,42,Republican,N/A,N/A,N/A,N/A,N/A,OPPOSE,OPPOSE,N/A,N/A,0,F,Opposed,0,Don Hartness is classified as opposed based on 3MA’s tracked medical cannabis votes from 2022–2026.,Don Hartness,30,Yes,don-hartness,No
"Dennis DeBar, Jr.",Senate,43,Republican,SUPPORT,OPPOSE,SUPPORT,N/A,SUPPORT,OPPOSE,OPPOSE,N/A,N/A,55,D,Weak / Inconsistent,55,"Dennis DeBar, Jr. has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.","Dennis DeBar, Jr.",100,Yes,dennis-debar-jr,No
Chris Johnson,Senate,44,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,OPPOSE,OPPOSE,OPPOSE,N/A,N/A,55,D,Weak / Inconsistent,55,Chris Johnson has shown weak or inconsistent alignment with 3MA’s tracked medical cannabis priorities.,Chris Johnson,100,Yes,chris-johnson,No
Jonny Dupree,Senate,45,Democrat,N/A,N/A,N/A,N/A,N/A,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,30,Jonny Dupree supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jonny Dupree,30,Yes,jonny-dupree,No
Philman Ladner,Senate,46,Republican,N/A,N/A,SUPPORT,N/A,SUPPORT,OPPOSE,SUPPORT,N/A,N/A,75,B,Supporter,45,Philman Ladner has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Philman Ladner,60,Yes,philman-ladner,No
Joseph M. Seymour,Senate,47,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,OPPOSE,SUPPORT,N/A,N/A,85,B,Supporter,85,Joseph M. Seymour has a generally supportive voting record on 3MA’s tracked medical cannabis priorities.,Joseph M. Seymour,100,Yes,joseph-m-seymour,No
Mike Thompson,Senate,48,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,100,Mike Thompson supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Mike Thompson,100,Yes,mike-thompson,No
"Joel R. Carter, Jr.",Senate,49,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,100,"Joel R. Carter, Jr. supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.","Joel R. Carter, Jr.",100,Yes,joel-r-carter-jr,No
Scott DeLano,Senate,50,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,100,Scott DeLano supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Scott DeLano,100,Yes,scott-delano,No
Jeremy England,Senate,51,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,100,Jeremy England supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Jeremy England,100,Yes,jeremy-england,No
Brice Wiggins,Senate,52,Republican,SUPPORT,SUPPORT,SUPPORT,N/A,SUPPORT,SUPPORT,SUPPORT,N/A,N/A,100,A,Strong Supporter,100,Brice Wiggins supported 3MA’s tracked medical cannabis priorities at a high level but is not classified as a Champion Leader absent authorship or recorded champion status.,Brice Wiggins,100,Yes,brice-wiggins,No
